dataset,train_time_seconds,prediction_time_seconds,best_parameters,train_f1_macro,train_accuracy,train_precision,train_recall,train_auc,test_f1_macro,test_accuracy,test_precision,test_recall,test_auc
diabetes,0.6546105410670862,0.005835851072333753,"{'learning_rate': 0.1, 'num_leaves': 15}",0.5635149455211348,0.9320862954684236,0.3678571428571429,0.10640113798008535,0.8244816344680895,0.6622416215131447,0.9001218026796589,0.8064516129032258,0.24752475247524752,0.6569375687568757
hepatitis,0.17328447196632624,0.001036365982145071,"{'learning_rate': 0.05, 'num_leaves': 7}",0.7321591921591922,0.8306666666666667,0.6838095238095238,0.5066666666666666,0.8569122807017543,0.7566718995290425,0.8387096774193549,0.5714285714285714,0.6666666666666666,0.7933333333333333
heart,0.1935177450068295,0.0012462940067052841,"{'learning_rate': 0.05, 'num_leaves': 15}",0.8038546003121183,0.8069565217391304,0.8163565062388592,0.7671428571428571,0.8936761904761905,0.8056655498020103,0.8103448275862069,0.8260869565217391,0.7307692307692307,0.8822115384615384
