dataset,train_time_seconds,prediction_time_seconds,test_f1_macro,test_accuracy,test_precision,test_recall,test_auc
diabetes,59.09182961797342,1.7596642939606681,0.6352810203546406,0.8989037758830695,0.9090909090909091,0.19801980198019803,0.6850591309130913
hepatitis,2.07826624403242,0.291270271060057,0.7237076648841354,0.8387096774193549,0.6,0.5,0.92
heart,1.436141679994762,0.2660259830299765,0.8075414781297134,0.8103448275862069,0.8,0.7692307692307693,0.9134615384615384
