dataset,train_time_seconds,prediction_time_seconds,best_parameters,train_f1_macro,train_accuracy,train_precision,train_recall,train_auc,test_f1_macro,test_accuracy,test_precision,test_recall,test_auc
diabetes,3.894894096069038,0.0036305469693616033,"{'learning_rate': 0.1, 'max_depth': 4}",0.5668087322464519,0.9324190629849358,0.38595238095238094,0.11194879089615932,0.823564886933695,0.6457656030503713,0.8952496954933008,0.7419354838709677,0.22772277227722773,0.6762032453245325
hepatitis,0.359780686092563,0.002722064033150673,"{'learning_rate': 0.05, 'max_depth': 3}",0.7404397049133892,0.8296666666666667,0.6666666666666667,0.5466666666666666,0.8372280701754387,0.69,0.8064516129032258,0.5,0.5,0.88
heart,0.3386427080258727,0.0016496999887749553,"{'learning_rate': 0.1, 'max_depth': 4}",0.8124246507250499,0.8154589371980677,0.8190037016123972,0.7852380952380952,0.8879047619047619,0.8075414781297134,0.8103448275862069,0.8,0.7692307692307693,0.8689903846153846
